,date,sentiment_score,content,source
164,2019-01-01,0.422135,【驻英大使刘晓明：中国改革开放前景光明灿烂】)中国驻英国大使刘晓明31日在英国《每日电讯报》网络版和纸质版，分别以《中国改革开放前景光明灿烂》《中国发展对英国不是威胁》为题，发表署名文章。刘晓明表示，40年来，中国国内生产总值年均增长约9.5%，总量达12万亿美元，增长33.5倍。这些成绩不是天上掉下来的，也不是别人的恩赐施舍，而是全体中国人民披荆斩棘、锐意进取，一步一个脚印干出来的。期待中英双方都能视彼此发展为机遇而非挑战更非威胁，不做损害对方核心利益的事；都能勇于担当，共同维护国际公平正义，旗帜鲜明反对保护主义和单边主义，携手建设开放型世界经济。（中新社）,sina
826,2019-01-02,0.844784,  【谷歌获准部署基于雷达的运动传感设备】美国联邦通信委员会（FCC）在周一晚些时候发布的一项命令中表示，它将授予谷歌公司一项豁免权，允许其以高于目前允许的功率水平运行Soli传感器，且该传感器还可在飞机上运行。Soli传感器利用雷达射束捕捉三维空间中的运动，从而实现对功能或特征的无触点控制，这些功能或特征可以造福于行动不便或存在言语障碍的用户。FCC方面称，这项决定得以使谷歌提供创新的设备控制功能，从而更好地服务于公众利益。美港电讯获悉，谷歌方面暂未就此做出正式声明。,sina
1394,2019-01-03,0.630279,"前英国脱欧大臣Davis：首相May应当推迟议会就脱欧协议投票的时间。（英国每日电讯报）
",wallstreetcn
2033,2019-01-04,0.29594,"英国每日电讯报民调显示，大多数保守党人会选择无协议退欧。
",wallstreetcn
2378,2019-01-08,0.268052,【消息称英欧双方官员正在探讨条款第50条所定期限延期可能】《每日电讯报》援引未具名知情人士的话报道称，由于担心无法如期在3月29日前完成脱欧协议的签署，英国和欧盟方面的官员眼下正在商讨延长《里斯本条约》第50条所规定期限的可能。(金十数据),eastmoney
3404,2019-01-08,0.240531,【消息称英欧双方官员正在探讨条款第50条所定期限延期可能】《每日电讯报》援引未具名知情人士的话报道称，由于担心无法如期在3月29日前完成脱欧协议的签署，英国和欧盟方面的官员眼下正在商讨延长《里斯本条约》第50条所规定期限的可能。,sina
3945,2019-01-09,0.807696,【港媒：腾讯等八家公司虚拟银行牌照申请已入围下轮甄选】香港金管局已向八家公司发出通知函，知会其虚拟银行牌照申请已经进入下一轮甄选。这八家公司中包括渣打香港、众安在线、腾讯和蚂蚁金服，据传小米、香港电讯、中国平安旗下公司等亦有望入选。（香港苹果日报）,sina
926,2019-01-09,0.820798,香港金管局已向八家公司发出通知函，知会其虚拟银行牌照申请已经进入下一轮甄选。这八家公司中包括渣打香港、众安在线、腾讯和蚂蚁金服，据传小米、香港电讯、中国平安旗下公司等亦有望入选。,10jqka
2797,2019-01-09,0.869216,云财经讯，香港金管局已向八家公司发出通知函，知会其虚拟银行牌照申请已经进入下一轮甄选。这八家公司中包括渣打香港、众安在线、腾讯和蚂蚁金服。据传小米、香港电讯、中国平安旗下公司等亦有望入选。（苹果日报）,yuncaijing
4342,2019-01-09,0.807696,"【港媒：腾讯等八家公司虚拟银行牌照申请已入围下轮甄选】香港金管局已向八家公司发出通知函，知会其虚拟银行牌照申请已经进入下一轮甄选。这八家公司中包括渣打香港、众安在线、腾讯和蚂蚁金服，据传小米、香港电讯、中国平安旗下公司等亦有望入选。（香港苹果日报）
",wallstreetcn
