,date,sentiment_score,content,source
120,2019-01-01,0.961299,【中国银行与浦发银行展开海南FT账户体系下多个品种业务办理】海南自由贸易账户(FT账户)体系1日正式上线。中国银行海南省分行于2018年12月28日试运行FT账户，当日上午8:08，海南省首个FT账户在该行开立，开户单位为中免集团三亚市内免税店。当天，中国石化海南炼油化工有限公司、海南农垦投资控股集团、海航航空控股公司、中船重工物贸集团海南公司、太平金融服务公司、海南国贸有限公司、海南金海浆纸业有限公司、海南逸盛石化有限公司、海南生态软件园集团、海南川铁广润实业公司等多家海南省重点企业成为FT账户的首批开户企业，涵盖旅游、热带特色高效农业、互联网、医疗健康、现代金融、现代物流、油气、低碳制造、房地产、高新技术等10个重点产业。（中新网）,sina
132,2019-01-01,0.830633,【顺丰申请财产保全 ofo运营主体东峡大通银行账户被冻结】广东省深圳市宝安区人民法院裁定，应申请人深圳市顺丰物流综合服务有限公司提出的财产保全申请，冻结被申请人东峡大通（北京）管理咨询有限公司（小黄车ofo运营主体）在招商银行账户存款人民币1375万元，同时中国太平洋财产保险股份有限公司深圳分公司为申请人提供相应担保。2017年4月，ofo与顺丰合作整治私藏车问题。（界面）,sina
108,2019-01-01,0.874778,云财经讯，​广东省深圳市宝安区人民法院裁定，应申请人深圳市顺丰物流综合服务有限公司提出的财产保全申请，冻结被申请人东峡大通（北京）管理咨询有限公司（小黄车ofo运营主体）在招商银行账户存款人民币1375万元，同时中国太平洋财产保险股份有限公司深圳分公司为申请人提供相应担保。2017年4月，ofo与顺丰合作整治私藏车问题。,yuncaijing
605,2019-01-02,0.93555,【经济日报：促进形成强大国内市场】当前，我国面临诸多有利条件，也具备诸多潜力。要促进形成强大国内市场，首先要努力满足最终需求。要努力满足最终需求，还必须不断创新供给，努力提升产品质量，加快教育、育幼、养老、医疗、文化、旅游等服务业发展，以供给侧结构性改革促进消费潜力释放。促进形成强大国内市场，还必须继续发挥投资关键作用。我国发展现阶段投资需求潜力仍然巨大，要发挥投资关键作用，必须加大制造业技术改造和设备更新，加快5G商用步伐，加强人工智能、工业互联网、物联网等新型基础设施建设，加大城际交通、物流、市政基础设施等投资力度，补齐农村基础设施和公共服务设施建设短板。,eastmoney
742,2019-01-02,0.986665,【英特尔推出互联物流平台】英特尔近日推出了英特尔·互联物流平台（Intel@ CLP），借助PA Consulting公司和谷歌云的支持，这款经济高效的物联网解决方案能够提供近乎实时的供应链可见性，同时还能监测供应链中货物运输的每一个环节的质量、完整性和安全性。（经参）,wallstreetcn
564,2019-01-02,0.993567,云财经讯，​英特尔近日推出了英特尔·互联物流平台，借助PA Consulting公司和谷歌云的支持，这款经济高效的物联网解决方案能够提供近乎实时的供应链可见性，同时还能监测供应链中货物运输的每一个环节的质量、完整性和安全性。,yuncaijing
565,2019-01-02,0.68045,云财经讯，​2018年的重卡市场跌宕起伏，上半年月销量五次创历史新高。从7月起，月增幅开始转负。在遭遇了“四连降”后，直到11月收获5%的增长。从2018年前11月数据看，陕汽2018年开门红，一单签订4800辆；重汽携手长久，一次签下3000辆大单；去年2月，一汽解放汽车和青岛融兴物流签订了2000辆中置轴轿运车合作协议；福田发力细分市场，获三个千辆大单；东风商用车获轿运车大单，一次签单1000辆。,yuncaijing
492,2019-01-02,0.939951,云财经讯，当前，我国面临诸多有利条件，也具备诸多潜力。要促进形成强大国内市场，首先要努力满足最终需求。要努力满足最终需求，还必须不断创新供给，努力提升产品质量，加快教育、育幼、养老、医疗、文化、旅游等服务业发展，以供给侧结构性改革促进消费潜力释放。促进形成强大国内市场，还必须继续发挥投资关键作用。我国发展现阶段投资需求潜力仍然巨大，要发挥投资关键作用，必须加大制造业技术改造和设备更新，加快5G商用步伐，加强人工智能、工业互联网、物联网等新型基础设施建设，加大城际交通、物流、市政基础设施等投资力度，补齐农村基础设施和公共服务设施建设短板。,yuncaijing
518,2019-01-02,0.55746,"【1月2日资金流向】主力净流入行业板块前五：包装材料、航天军工、化纤、木业家具、船舶制造
主力净流入概念板块前五：赛马、军工、数字中国、冷链物流、上海自贸
主力净流入个股前十：通产丽星、上机数控、罗牛山、科大讯飞、浔兴股份、张江高科、乐视网、新疆交建、航天通信、光洋股份",wallstreetcn
769,2019-01-02,0.93555,【经济日报：促进形成强大国内市场】当前，我国面临诸多有利条件，也具备诸多潜力。要促进形成强大国内市场，首先要努力满足最终需求。要努力满足最终需求，还必须不断创新供给，努力提升产品质量，加快教育、育幼、养老、医疗、文化、旅游等服务业发展，以供给侧结构性改革促进消费潜力释放。促进形成强大国内市场，还必须继续发挥投资关键作用。我国发展现阶段投资需求潜力仍然巨大，要发挥投资关键作用，必须加大制造业技术改造和设备更新，加快5G商用步伐，加强人工智能、工业互联网、物联网等新型基础设施建设，加大城际交通、物流、市政基础设施等投资力度，补齐农村基础设施和公共服务设施建设短板。,sina
802,2019-01-02,0.986665,【英特尔推出互联物流平台】英特尔近日推出了英特尔·互联物流平台（Intel@ CLP），借助PA Consulting公司和谷歌云的支持，这款经济高效的物联网解决方案能够提供近乎实时的供应链可见性，同时还能监测供应链中货物运输的每一个环节的质量、完整性和安全性。（经参）,sina
