,date,sentiment_score,content,source
134,2019-01-01,0.0206763,【2018年千亿市值以上股跑赢恒生指数】数据显示，剔除2018年上市新股及2018年交易日数小于10天的股票，仅766股跑赢恒生指数，占比不足四成。82股涨幅超过50%，兆邦基地产涨幅近20倍；下跌20%至50%的股票数量最多，占总数的三成以上； 以2017年末的市值划分，市值在50亿港元至100亿港元的股票调整幅度最大，2018年平均下跌19.5%；其次是总市值低于50亿港元的股票，2018年平均下跌17.5%；相反，市值在千亿港元以上的股票平均跌幅最低，仅跑输恒生指数1个百分点。其中44股跑赢恒生指数，18股全年逆势上涨，中字头股票占据较多席位，包括中国中铁、中国铁建、中国燃气等。,sina
2529,2019-01-07,0.833627,【中国中铁与中国华电签战略合作协议】记者获悉，近日，中国中铁与中国华电集团有限公司战略合作协议签约仪式在京举行。中国中铁董事长李长进表示，此次中国中铁与中国华电签署战略合作协议，是双方在既有友好合作基础上的进一步深化，具有重要意义。,sina
1656,2019-01-07,0.885077,云财经讯，记者获悉，近日，中国中铁与中国华电集团有限公司战略合作协议签约仪式在京举行。中国中铁董事长李长进表示，此次中国中铁与中国华电签署战略合作协议，是双方在既有友好合作基础上的进一步深化，具有重要意义。,yuncaijing
4512,2019-01-10,0.972336,【吉林省打造首条数字高速公路】BIM、互联网、物联网技术的完美融合，将使双（辽）洮（南）高速公路全方位衔接5G“数字吉林”建设，成为吉林省第一条真正意义上的数字高速公路。立足高速公路建设数字化管理架构，着眼全方位衔接5G“数字吉林”建设，吉高集团、省交通规划设计院和中国中铁等参建单位联合成立课题组，依托双洮高速公路开展《基于BIM技术的高速公路信息化管理平台系统开发》课题研究。（吉林日报）,sina
2972,2019-01-10,0.969184,【吉林省打造首条数字高速公路】BIM、互联网、物联网技术的完美融合，将使双(辽)洮(南)高速公路全方位衔接5G“数字吉林”建设，成为吉林省第一条真正意义上的数字高速公路。立足高速公路建设数字化管理架构，着眼全方位衔接5G“数字吉林”建设，吉高集团、省交通规划设计院和中国中铁等参建单位联合成立课题组，依托双洮高速公路开展《基于BIM技术的高速公路信息化管理平台系统开发》课题研究。(吉林日报),eastmoney
4351,2019-01-14,0.783308,云财经讯，从中国中铁股份有限公司获悉，洛阳LYC轴承有限公司与中铁隧道局联合研制的国内首台直径11米级盾构机主轴承14日成功下线，将用于首台再制造大直径泥水盾构机。,yuncaijing
6925,2019-01-14,0.777948,【国内首台大直径盾构主轴承成功下线】从中国中铁股份有限公司获悉，洛阳LYC轴承有限公司与中铁隧道局联合研制的国内首台直径11米级盾构机主轴承14日成功下线，将用于首台再制造大直径泥水盾构机。,wallstreetcn
5871,2019-01-14,0.818355,【国内首台大直径盾构主轴承成功下线】记者从中国中铁股份有限公司获悉，洛阳LYC轴承有限公司与中铁隧道局联合研制的国内首台直径11米级盾构机主轴承14日成功下线，将用于首台再制造大直径泥水盾构机。中铁隧道局集团有关负责人表示，国内首台11米级盾构机国产主轴承研发成功，将进一步推动盾构机核心部件国产化，打破大直径主轴承技术壁垒，实现对盾构机制造及再制造完全国产化的新跨越。（新华社）,sina
6613,2019-01-15,0.968949,【中国出口非洲大陆首台盾构成功下线】从中国中铁股份有限公司获悉，中国出口非洲大陆首台盾构机“中铁665号”15日在中铁工程装备集团盾构再制造有限公司天津工厂成功下线。将适用于阿尔及利亚阿尔及尔地铁延伸线的工程建设。（新华社）,sina
11147,2019-01-19,0.954489,【央企结构调整ETF上市，长期配置价值引机构热捧】 1月18日，华夏、博时和银华3家公募基金旗下的央企结构调整ETF同时挂牌上市。从3只央企结构调整ETF公布的十大重仓股来看，中国石油、中国中铁、中国石化和中国中车等大型央企均榜上有名。业内人士认为，央企结构调整指数的投资价值还包括三大方面：首先，企业体制改善以及运营效率的提升会提供盈利改善的长期机会；其次，新经济龙头中的部分央企在经济平稳运行过程中，将凸显出“强者恒强”的增值机会；第三，随着政策的逐一落地，优质央企能够更快获得二级市场的价值发现和重估的事件性投资机会。（上证报）,wallstreetcn
5513,2019-01-19,0.674223,【中老铁路首联现浇连续梁成功合龙】中国中铁五局中老铁路第一标项目经理部19日对新华社记者说，该部当天完成了中老铁路首联现浇连续梁合龙。,eastmoney
13199,2019-01-28,0.557973,中国中铁：近期中标重大工程约376亿元人民币。,sina
16364,2019-01-28,0.606178,中国中铁：公司近期中标重大工程约376亿元，占17年营收5.45%。,wallstreetcn
13631,2019-01-29,0.369612,【粤水电：联合中标东莞轨道交通1号线项目】粤水电(002060)1月29日晚公告，公司收到《中标通知书》，确定公司全资子公司粤水电轨道公司与东莞控股、中国中铁等联合体成员为东莞市轨道交通1号线一期工程PPP改造项目的中标供应商，项目估算总投资329亿元。粤水电轨道公司将按约定对项目资本金进行出资，出资比例占社会资本方出资的0.73%，负责的工程内容金额约为12.5亿元。,sina
10953,2019-02-10,0.0405788,【中国中铁(00390.HK)遭JPMorgan Chase&Co.减持610.84万股H股】格隆汇获悉，根据港交所最新权益披露资料显示，2019年2月1日， 中国中铁(00390.HK)遭JPMorgan Chase & Co。减持约610.84万股H股，每股均价约7.3178港元，总价约4470.01万港元。,eastmoney
