,date,sentiment_score,content,source
134,2019-01-01,0.0206763,【2018年千亿市值以上股跑赢恒生指数】数据显示，剔除2018年上市新股及2018年交易日数小于10天的股票，仅766股跑赢恒生指数，占比不足四成。82股涨幅超过50%，兆邦基地产涨幅近20倍；下跌20%至50%的股票数量最多，占总数的三成以上； 以2017年末的市值划分，市值在50亿港元至100亿港元的股票调整幅度最大，2018年平均下跌19.5%；其次是总市值低于50亿港元的股票，2018年平均下跌17.5%；相反，市值在千亿港元以上的股票平均跌幅最低，仅跑输恒生指数1个百分点。其中44股跑赢恒生指数，18股全年逆势上涨，中字头股票占据较多席位，包括中国中铁、中国铁建、中国燃气等。,sina
118,2019-01-01,0.977716,【京礼高速公路兴延段通车】从中国铁建股份有限公司获悉，历经3年多的施工建设，2019年世园会、2022年冬奥会重点交通保障工程——京礼高速兴延段1日正式开通运营。据悉，京礼高速兴延段由中国铁建作为社会出资人与北京市共同出资建设，负责项目的建设、运营、管理。作为全国首批通过公开招标建设的高速公路PPP项目，项目的成功实践，将为今后北京市乃至全国高速公路PPP项目的推广提供可借鉴的经验。（证券时报）,wallstreetcn
107,2019-01-01,0.98616,云财经讯，记者从中国铁建股份有限公司获悉，历经3年多的施工建设，2019年世园会、2022年冬奥会重点交通保障工程——京礼高速兴延段1日正式开通运营。据悉，京礼高速兴延段由中国铁建作为社会出资人与北京市共同出资建设，负责项目的建设、运营、管理。作为全国首批通过公开招标建设的高速公路PPP项目，项目的成功实践，将为今后北京市乃至全国高速公路PPP项目的推广提供可借鉴的经验。,yuncaijing
424,2019-01-02,0.659551,中国铁建：联合中标滁州至南京城际铁路（滁州段）一期工程PPP项目，项目总投资91.96亿元。,sina
404,2019-01-02,0.659551,中国铁建：联合中标滁州至南京城际铁路（滁州段）一期工程PPP项目，项目总投资91.96亿元。,wallstreetcn
296,2019-01-02,0.701137,云财经讯，中国铁建：联合中标滁州至南京城际铁路（滁州段）一期工程PPP项目，项目总投资91.96亿元,yuncaijing
2564,2019-01-07,0.475564,中国铁建联合体中标总投资123亿元的陕西省公路PPP项目。,sina
2693,2019-01-07,0.550587,中国铁建：中标陕西省眉县至太白公路PPP项目，项目总投资123亿元。,wallstreetcn
1682,2019-01-07,0.581373,云财经讯，中国铁建联合体中标总投资123亿元的陕西省公路PPP项目。,yuncaijing
2061,2019-01-08,0.818511,云财经讯，1月8日，中共中央、国务院在北京人民大会堂隆重举行国家科学技术奖励大会。中国铁建所属单位获得国家技术发明奖二等奖1项，国家科技进步奖一等奖、二等奖各1项。,yuncaijing
2380,2019-01-08,0.633473,云财经讯，基建增速底部企稳，以及铁路投资回暖，在A股市场掀起涟漪，衍生为盘面上的财富效应。昨日高铁板块强势爆发，鼎汉技术、祥和实业等多只股票集体涨停，中国铁建、中国交建、中国中车等前几日尽管已经率先上涨，昨日依然不遑多让受到资金欢迎。市场人士认为，2019年高铁新开工提速，铁路货运增量计划促进“公转铁”加速，高铁行业仍具成长性，高铁板块业绩表现有望带来惊喜。（中国证券报）,yuncaijing
4137,2019-01-09,0.976084,【北京冬奥会综合管廊工程全线贯通，中国铁建承建】1月7日，由中国铁建所属中铁十四局和中铁十八局承建的2022年北京冬奥会综合管廊工程全线贯通。总投资17.5亿元、全长7.9公里的北京冬奥会综合管廊，被称为2022年北京冬奥会延庆赛区的“生命线”，它在提供能源输送支持，保障赛区造雪用水、生活用水、电力通信等方面发挥着重要作用。（证券时报）,wallstreetcn
2443,2019-01-09,0.954397,云财经讯，9日召开的国务院常务会议提出，对经全国人大授权提前下达的1.39万亿元地方债要尽快发行，优先用在建项目，支持规划内重大项目及解决政府项目拖欠等。广发证券认为，2019年政府资金到位时间或早于预期，基建投资回暖的幅度和持续性或好于预期。基建补短板仍为重要发力方向，中长期关注三条主线：基建前端设计公司，包括苏交科、中设集团等；基建央企，包括中国铁建等；弹性较大的地方基建国企，包括四川路桥、山东路桥等。（上证资讯）,yuncaijing
2656,2019-01-09,0.979075, 云财经讯，1月7日，由中国铁建所属中铁十四局和中铁十八局承建的2022年北京冬奥会综合管廊工程全线贯通。总投资17.5亿元、全长7.9公里的北京冬奥会综合管廊，被称为2022年北京冬奥会延庆赛区的“生命线”，它在提供能源输送支持，保障赛区造雪用水、生活用水、电力通信等方面发挥着重要作用。,yuncaijing
2561,2019-01-09,0.97727,【北京冬奥会综合管廊工程全线贯通 中国铁建承建】1月7日，由中国铁建所属中铁十四局和中铁十八局承建的2022年北京冬奥会综合管廊工程全线贯通。总投资17.5亿元、全长7.9公里的北京冬奥会综合管廊，被称为2022年北京冬奥会延庆赛区的“生命线”，它在提供能源输送支持，保障赛区造雪用水、生活用水、电力通信等方面发挥着重要作用。（澎湃新闻）,eastmoney
2443,2019-01-09,0.550469,【地方政府专项债发行或加快 基建补短板成发力重点】基建补短板仍为重要发力方向，中长期关注三条主线：基建前端设计公司，包括苏交科、中设集团等；基建央企，包括中国铁建等；弹性较大的地方基建国企，包括四川路桥、山东路桥等。,eastmoney
3822,2019-01-09,0.984413,【北京冬奥会综合管廊工程全线贯通 中国铁建承建】1月7日，由中国铁建所属中铁十四局和中铁十八局承建的2022年北京冬奥会综合管廊工程全线贯通。总投资17.5亿元、全长7.9公里的北京冬奥会综合管廊，被称为2022年北京冬奥会延庆赛区的“生命线”，它在提供能源输送支持，保障赛区造雪用水、生活用水、电力通信等方面发挥着重要作用。,sina
3556,2019-01-09,0.939889,【地方政府专项债发行或加快 基建补短板成发力重点】9日召开的国务院常务会议提出，对经全国人大授权提前下达的1.39万亿元地方债要尽快发行，优先用在建项目，支持规划内重大项目及解决政府项目拖欠等。广发证券认为，2019年政府资金到位时间或早于预期，基建投资回暖的幅度和持续性或好于预期。基建补短板仍为重要发力方向，中长期关注三条主线：基建前端设计公司，包括苏交科、中设集团等；基建央企，包括中国铁建等；弹性较大的地方基建国企，包括四川路桥、山东路桥等。（上证资讯）,sina
7181,2019-01-16,0.670116,中国铁建下属企业联合体中标98亿元的长春至太平川高速公路PPP项目。中国铁建下属公司中标30亿元人民币重庆项目。,sina
4982,2019-01-16,0.57248,云财经讯，中国铁建：中标潼南区城市提升交通建设重点项目一期工程勘察设计施工总承包项目，中标金额暂定30.2027亿元，占17年营收0.44%,yuncaijing
8461,2019-01-16,0.484946,中国铁建：中标潼南区城市提升交通建设重点项目一期工程勘察设计施工总承包项目，中标金额暂定30.2027亿元，占17年营收0.44%。,wallstreetcn
8456,2019-01-16,0.71789,中国铁建：下属联合体中标长春至太平川高速公路PPP项目，项目总投资额97.996亿元。,wallstreetcn
11656,2019-01-24,0.962907,【福平快速铁路乌龙江特大桥合龙 由中铁十八局集团承建】从中国铁建获悉，24日，由中铁十八局集团承建的福州至平潭快速铁路重难点控制性工程一一乌龙江特大桥成功合龙。这是目前世界上跨度最大的连续刚构矮塔斜拉式铁路桥。为最大限度满足通航要求，跨越乌龙江主航道的主跨跨度达288米，被列为福平铁路全线的重难点控制性工程。（新华社）,sina
